condition,gene,population,mean_hnf,std_hnf,delta_hnf,p_value
TARDBP (KD) [VAT1L],TARDBP,VAT1L,0.4242000000000001,0.06420560723176753,-0.00019999999999997797,0.9902070324817418
STMN2 (Restore) [VAT1L],STMN2,VAT1L,0.425,0.06383572667401852,0.0005999999999999339,0.9510579908609885
UNC13A (Restore) [VAT1L],UNC13A,VAT1L,0.42460000000000003,0.06298285480986077,0.00019999999999997797,0.9637687758936903
POU3F1 (Restore) [VAT1L],POU3F1,VAT1L,0.4244,0.06384857085323055,-5.551115123125783e-17,0.9794347621020877
DCTN1 (Restore) [VAT1L],DCTN1,VAT1L,0.42500000000000004,0.0637102817447859,0.0005999999999999894,0.9422544844650856
DYNC1H1 (Restore) [VAT1L],DYNC1H1,VAT1L,0.42500000000000004,0.06414826575987849,0.0005999999999999894,0.9530237512007653
SARM1 (KD) [VAT1L],SARM1,VAT1L,0.4252,0.06366286201546394,0.0007999999999999674,0.9442197607878791
NEK1 (KD) [VAT1L],NEK1,VAT1L,0.4252,0.06416354104941528,0.0007999999999999674,0.9334687349895197
TBK1 (KD) [VAT1L],TBK1,VAT1L,0.4252,0.06372566202088449,0.0007999999999999674,0.9383620194736869
OPTN (KD) [VAT1L],OPTN,VAT1L,0.42440000000000005,0.06378589185705567,0.0,0.9921649976187035
ACTB (KD) [VAT1L],ACTB,VAT1L,0.42440000000000005,0.06391118837887465,0.0,1.0
TARDBP (KD) [SCN4B],TARDBP,SCN4B,0.4152,0.07105603422651731,0.0010000000000000009,0.9227311450313278
STMN2 (Restore) [SCN4B],STMN2,SCN4B,0.4150000000000001,0.0702780193232564,0.0008000000000000784,0.9158901497483071
UNC13A (Restore) [SCN4B],UNC13A,SCN4B,0.4138,0.07035310938402084,-0.00040000000000001146,0.9735505398659943
POU3F1 (Restore) [SCN4B],POU3F1,SCN4B,0.4142,0.07038721474813449,0.0,0.9951014452339925
DCTN1 (Restore) [SCN4B],DCTN1,SCN4B,0.4142,0.07055749428657457,0.0,0.990201805652315
DYNC1H1 (Restore) [SCN4B],DYNC1H1,SCN4B,0.41480000000000006,0.07017805924931239,0.0006000000000000449,0.9451741106896699
SARM1 (KD) [SCN4B],SARM1,SCN4B,0.41419999999999996,0.07055749428657455,-5.551115123125783e-17,0.9853043672761032
NEK1 (KD) [SCN4B],NEK1,SCN4B,0.4154,0.07024841635225666,0.0011999999999999789,0.8818970132052946
TBK1 (KD) [SCN4B],TBK1,SCN4B,0.4154,0.07047581145329226,0.0011999999999999789,0.8634941415804366
OPTN (KD) [SCN4B],OPTN,SCN4B,0.4146000000000001,0.07109739798332988,0.00040000000000006697,0.9618091443108919
ACTB (KD) [SCN4B],ACTB,SCN4B,0.4146,0.0709847871025898,0.00040000000000001146,0.9833462078560103
