gene,cosine_shift,cosine_shift_vat1l,cohens_d,p_fdr,rescue_score,cosine_shift_scn4b,cohens_d_scn4b,p_fdr_scn4b,delta_hnf,hnf_p,delta_hnf_scn4b,on_axis_shift,off_axis_mag,specificity,angle_deg,on_axis_shift_scn4b,specificity_scn4b,healthy_shift,bidir_consistent,axis,direction,concordance
TARDBP,5.632639e-07,5.632639e-07,0.006711243,0.9468946802249077,2.1301295e-05,8.667707e-06,0.043727346,0.8353088184014544,-0.00019999999999997797,0.9902070324817418,0.0010000000000000009,0.0004398822784423828,0.0028668390586972237,0.13302671909332275,73.99061584472656,-0.001341015100479126,-0.16578058898448944,-1.62523992912611e-05,1.0,TDP-43 pathway,knockdown,0.6666666666666666
STMN2,7.254839e-05,7.254839e-05,0.15104936,0.42756179641629516,0.002743607,6.171763e-05,0.11672015,0.5112891816167726,0.0005999999999999339,0.9510579908609885,0.0008000000000000784,0.009227633476257324,0.034809622913599014,0.20954151451587677,69.48218536376953,0.007998526096343994,0.1802636682987213,-0.00014352917787618935,1.0,TDP-43 pathway,knockup_restore,0.8333333333333334
UNC13A,-2.5376678e-05,-2.5376678e-05,-0.059368253,0.8155592583460989,-0.0009596853,-6.725967e-05,-0.14548321,0.44166828226843546,0.00019999999999997797,0.9637687758936903,-0.00040000000000001146,0.001328200101852417,0.01126460637897253,0.10547292232513428,76.88407135009766,0.0008433163166046143,0.05297482758760452,-3.998339161626063e-05,0.0,TDP-43 pathway,knockup_restore,0.5
POU3F1,-1.9393563e-05,-1.9393563e-05,-0.053795513,0.8164462576381963,-0.0007334182,8.43525e-06,0.08538515,0.6856925885840763,-5.551115123125783e-17,0.9794347621020877,0.0,0.00292167067527771,0.011148384772241116,0.20765167474746704,63.995304107666016,-0.00023761391639709473,-0.06396681070327759,-7.924437522888184e-05,0.0,TDP-43 pathway,knockup_restore,0.16666666666666666
DCTN1,-1.6319156e-05,-1.6319156e-05,-0.048631426,0.8164462576381963,-0.0006171515,-1.6589165e-05,-0.036736,0.8496758372938242,0.0005999999999999894,0.9422544844650856,0.0,0.0015510320663452148,0.010786369442939758,0.125717893242836,75.1864013671875,0.00015297532081604004,0.011347699910402298,-6.012856829329394e-05,0.0,Axonal transport,knockup_restore,0.5
DYNC1H1,-6.125212e-05,-6.125212e-05,-0.1420754,0.44166828226843546,-0.0023164088,-1.6111135e-05,-0.034273833,0.8496758372938242,0.0005999999999999894,0.9530237512007653,0.0006000000000000449,-0.0025356411933898926,0.01515873335301876,-0.14330211281776428,107.73164367675781,0.0005418360233306885,0.040954042226076126,-0.00010608494631014764,0.0,Axonal transport,knockup_restore,0.3333333333333333
SARM1,3.8141014e-05,3.8141014e-05,0.16195641,0.42756179641629516,0.001442402,-7.5364114e-06,-0.08090651,0.6889149291690797,0.0007999999999999674,0.9442197607878791,-5.551115123125783e-17,-0.0002518892288208008,0.007681133225560188,-0.03175198659300804,93.28592681884766,-0.0013441741466522217,-0.18557943403720856,-5.277216405374929e-05,1.0,Axon degeneration,knockdown,0.5
NEK1,2.8531551e-05,2.8531551e-05,0.061574515,0.8155592583460989,0.0010789951,-3.6994217e-05,-0.07383911,0.7295594650172604,0.0007999999999999674,0.9334687349895197,0.0011999999999999789,-0.0032766759395599365,0.01755048707127571,-0.15732704102993011,102.55984497070312,-0.00439336895942688,-0.15573257207870483,-0.00013494491577148438,1.0,DNA repair / NCT,knockdown,0.5
TBK1,5.0497056e-06,5.0497056e-06,0.018131359,0.8980228347782666,0.0001909678,-4.618883e-05,-0.112128906,0.5112891816167726,0.0007999999999999674,0.9383620194736869,0.0011999999999999789,-0.0004766881465911865,0.009407318197190762,-0.04822823032736778,94.33609771728516,-0.0031724870204925537,-0.20360273122787476,-3.07554000755772e-05,1.0,Selective autophagy,knockdown,0.5
OPTN,3.3641456e-05,3.3641456e-05,0.15614869,0.42756179641629516,0.0012722395,-3.7915706e-05,-0.08600033,0.6856925885840763,0.0,0.9921649976187035,0.00040000000000006697,-0.0012297332286834717,0.009941678494215012,-0.1100785881280899,99.79795837402344,-0.0024988949298858643,-0.14513447880744934,-4.77337853226345e-05,1.0,Selective autophagy,knockdown,0.3333333333333333
ACTB,-9.590387e-07,-9.590387e-07,-0.008391625,0.9468946802249077,-3.6268553e-05,-3.7753582e-06,-0.019354053,0.8980228347782666,0.0,1.0,0.00040000000000001146,-0.0023773610591888428,0.011816892772912979,-0.16748756170272827,108.94092559814453,-0.0025457441806793213,-0.13698764145374298,7.2693824222369585e-06,1.0,Control,knockdown,0.3333333333333333
